Filename,Meansize(mm)
Run354_Image08091_Crib0165.png,38.53
Run354_Image08092_Crib0166.png,37.94
Run354_Image08092_Crib0167.png,39.35
Run354_Image08093_Crib0168.png,37.56
Run354_Image08093_Crib0169.png,37.82
Run354_Image08094_Crib0170.png,38.56
Run354_Image08094_Crib0171.png,37.83
Run354_Image08095_Crib0172.png,40.22
Run354_Image08095_Crib0173.png,38.75
Run354_Image08096_Crib0174.png,38.02
Run354_Image08096_Crib0175.png,38.40
Run354_Image08097_Crib0176.png,39.31
Run354_Image08097_Crib0177.png,38.67
Run354_Image08098_Crib0178.png,38.87
Run354_Image08098_Crib0179.png,38.11
Run354_Image08099_Crib0180.png,38.92
Run354_Image08099_Crib0181.png,37.29
Run354_Image08100_Crib0182.png,38.36
Run354_Image08100_Crib0183.png,37.54
Run354_Image08101_Crib0184.png,38.88
Run354_Image08101_Crib0185.png,38.35
Run354_Image08102_Crib0186.png,37.64
Run354_Image08102_Crib0187.png,38.66
Run354_Image08103_Crib0188.png,38.13
Run354_Image08103_Crib0189.png,39.46
Run354_Image08104_Crib0190.png,38.29
Run354_Image08104_Crib0191.png,39.11
Run354_Image08105_Crib0192.png,36.86
Run354_Image08105_Crib0193.png,39.67
Run354_Image08106_Crib0194.png,38.51
Run354_Image08106_Crib0195.png,38.77
Run354_Image08107_Crib0196.png,39.43
Run354_Image08107_Crib0197.png,39.89
Run354_Image08108_Crib0198.png,40.92
Run354_Image08108_Crib0199.png,39.01
Run354_Image08109_Crib0200.png,38.62
Run354_Image08109_Crib0201.png,40.71
Run354_Image08110_Crib0202.png,39.83
Run354_Image08110_Crib0203.png,38.13
Run354_Image08111_Crib0204.png,39.36
Run354_Image08111_Crib0205.png,39.12
Run354_Image08112_Crib0206.png,39.74
Run354_Image08113_Crib0207.png,38.45
Run354_Image08113_Crib0208.png,39.23
Run354_Image08114_Crib0209.png,38.20
Run354_Image08114_Crib0210.png,37.90
Run354_Image08115_Crib0211.png,38.48
Run354_Image08115_Crib0212.png,37.12
Run354_Image08116_Crib0213.png,37.73
Run354_Image08116_Crib0214.png,37.87
Run354_Image08117_Crib0215.png,37.44
Run354_Image08117_Crib0216.png,38.68
Run354_Image08118_Crib0217.png,39.40
Run354_Image08118_Crib0218.png,38.91
Run354_Image08119_Crib0219.png,38.18
Run354_Image08119_Crib0220.png,37.86
Run354_Image08120_Crib0221.png,38.41
Run354_Image08120_Crib0222.png,38.19
Run354_Image08121_Crib0223.png,39.89
Run354_Image08121_Crib0224.png,38.19
Run354_Image08122_Crib0225.png,38.75
Run354_Image08122_Crib0226.png,39.39
Run354_Image08123_Crib0227.png,38.55
Run354_Image08123_Crib0228.png,39.13
Run354_Image08124_Crib0229.png,39.47
Run354_Image08124_Crib0230.png,38.78
Run354_Image08125_Crib0231.png,39.46
Run354_Image08125_Crib0232.png,39.76
Run354_Image08126_Crib0233.png,39.02
Run354_Image08126_Crib0234.png,37.77
Run354_Image08127_Crib0235.png,39.90
Run354_Image08127_Crib0236.png,38.52
Run354_Image08128_Crib0237.png,38.49
Run354_Image08128_Crib0238.png,37.98
Run354_Image08129_Crib0239.png,39.10
Run354_Image08129_Crib0240.png,38.95
Run354_Image08130_Crib0241.png,39.99
Run354_Image08130_Crib0242.png,39.71
Run354_Image08131_Crib0243.png,39.32
Run354_Image08131_Crib0244.png,38.67
Run354_Image08132_Crib0245.png,38.58
Run354_Image08132_Crib0246.png,38.71
Run354_Image08133_Crib0247.png,37.26
Run354_Image08133_Crib0248.png,39.44
Run354_Image08134_Crib0249.png,38.01
Run354_Image08134_Crib0250.png,38.88
Run354_Image08135_Crib0251.png,39.13
Run354_Image08135_Crib0252.png,38.85
Run354_Image08136_Crib0253.png,38.38
Run354_Image08136_Crib0254.png,38.27
Run354_Image08137_Crib0255.png,38.27
Run354_Image08137_Crib0256.png,38.64
Run354_Image08138_Crib0257.png,38.89
Run354_Image08138_Crib0258.png,39.62
Run354_Image08139_Crib0259.png,39.28
Run354_Image08140_Crib0260.png,39.44
Run354_Image08140_Crib0261.png,40.04
Run354_Image08141_Crib0262.png,39.72
Run354_Image08141_Crib0263.png,39.91
Run354_Image08142_Crib0264.png,38.63
Run354_Image08142_Crib0265.png,40.17
Run354_Image08143_Crib0266.png,38.46
Run354_Image08143_Crib0267.png,38.45
Run354_Image08144_Crib0268.png,39.45
Run354_Image08144_Crib0269.png,39.66
Run354_Image08145_Crib0270.png,39.27
Run354_Image08145_Crib0271.png,39.91
Run354_Image08146_Crib0272.png,39.62
Run354_Image08146_Crib0273.png,39.48
Run354_Image08147_Crib0274.png,39.56
Run354_Image08147_Crib0275.png,39.57
Run354_Image08148_Crib0276.png,39.35
Run354_Image08148_Crib0277.png,38.84
Run354_Image08149_Crib0278.png,38.85
Run354_Image08149_Crib0279.png,40.39
Run354_Image08150_Crib0280.png,41.24
Run354_Image08150_Crib0281.png,39.18
Run354_Image08151_Crib0282.png,39.64
Run354_Image08151_Crib0283.png,39.43
Run354_Image08152_Crib0284.png,38.01
Run354_Image08152_Crib0285.png,38.59
