crib_0000000_0000000_974_1435.png,crib_0000001_0000002_3651_4090.png,crib_0000031_0000032_63744_64206.png,crib_0000033_0000033_66439_66818.png,crib_0000059_0000059_118708_119155.png,crib_0000206_0000206_413557_413973.png,crib_0004943_0004943_9887118_9887493.png,crib_0009356_0009356_18713198_18713637.png,crib_0020050_0020051_20050688_20051131.png,crib_0020053_0020053_20053341_20053798.png
35.014,5.5,24.052,34.917,31.341,15.788,13.342,39.427,46.068,17.72
29.614,13.153,16.508,44.627,60.525,23.585,15,12.5,18.337,30.232
8.544,25.773,20.396,48.472,22.023,20.797,15.264,13.463,22,28.018
44.147,22.192,23.119,28.622,29.971,12.728,44.407,6.364,12,35.228
8.944,32,14.534,23.336,25.544,13.435,11,19.105,11.597,19.416
38.601,21.29,30.008,18.658,44.814,28.784,35.114,24.602,40.078,38.833
33.541,11.413,13.657,20.202,21.29,15.5,14.318,16.14,11.662,60.033
23.707,21.954,8.846,7.401,41.931,15.692,20.616,19.059,19.007,38.588
19.416,20.156,16,18.135,29.334,17.205,52.773,13.342,5.22,33.615
58.138,26.315,24.3,19.734,53.558,9,47.17,12,7,12.166
28.443,19.962,34.004,23.307,9.618,30.438,24.083,15.435,6.364,12.083
35.128,23.259,26.005,35.855,6.021,18.561,21.633,15.652,7.211,32.696
31.89,22.771,25.578,20.125,6,20,20.125,15.953,3,21.095
5,26.8,30.777,26.719,11.715,17.923,17.889,22.638,6,30.529
11.402,33.305,25.807,24.37,9.192,17.357,52.01,34.713,16.771,24.187
9.849,27.613,31.504,19.073,14.534,13.086,22.136,16.985,28.991,42.953
9.487,8.5,26.926,9.195,32.558,33.801,18.111,7.5,36.878,24.698
39.623,12.51,14.56,17.544,18.5,24.622,11.662,10.012,9.618,18
16.401,27,20.573,36.676,23.42,16.378,30.265,21.593,15.116,46.098
29.547,12.083,24.99,22.647,42.579,12.042,21.213,25.387,15.89,50.478
18.974,31.599,18.18,41.508,21.966,9.552,24.207,32.596,25.715,22.361
