crib_0000000_0000000_974_1435.png,crib_0000001_0000002_3651_4090.png,crib_0000031_0000032_63744_64206.png,crib_0000033_0000033_66439_66818.png,crib_0000059_0000059_118708_119155.png,crib_0000206_0000206_413557_413973.png,crib_0004943_0004943_9887118_9887493.png,crib_0009356_0009356_18713198_18713637.png,crib_0020050_0020051_20050688_20051131.png,crib_0020053_0020053_20053341_20053798.png
10,23.087,22.277,21.868,10.012,48.541,,41.437,12.042,
36.056,12.5,32.973,12.97,15.403,27.951,,32.191,7.433,
34.54,22.472,32.973,22.356,17.678,30.083,,24.233,6.519,
7.28,14.422,50.16,28.127,53.266,35.089,,17,7.159,
26.926,4.717,25.986,28.3,23,24.083,,34.928,14.509,
27.313,16.621,12.5,27.717,41.68,6.5,,57.942,12.01,
23.707,26.462,16.286,33.042,35.584,24,,23.585,10.308,
51.43,22.638,40.066,18.077,24.13,23.345,,12.01,6.708,
27.514,6.519,11.068,45.923,23.345,46.352,,49.477,6.185,
45.31,18.927,33.106,43.79,19.5,11.045,,19.704,19.474,
35.355,16,19.647,69.915,28.657,15.207,,29.12,40.302,
42.579,16.008,20.718,17.337,30.017,64.049,,20.839,17,
16.155,17.066,44.654,20.279,31.5,24.052,,15.572,16.5,
24.021,18.822,40.078,11.338,26.968,12.042,,17.088,16.568,
40.012,29.517,17.5,6.2,26.655,43.855,,5.523,19.5,
11.045,17.5,17.5,32.349,17.103,15.788,,18.554,23.77,
18.358,9.22,25.505,19.09,26.12,18.788,,50.917,16.378,
14,23.88,30.336,34.606,19.812,9.22,,18.868,12.369,
32,21,75.135,28.412,22.322,43.649,,17.903,48.541,
19.209,12.806,21.36,36.736,18.974,17.889,,30.794,12.5,
31.305,25.224,38.079,38.006,33.365,11.662,,31.016,9.487,
21.213,13.647,47.024,36.712,47.5,21.506,,47.437,7.762,
31.241,16.008,33.541,34.884,34.558,34.821,,54.781,17.614,
17.889,20.797,56.996,33.974,30.647,43.081,,29.12,16.125,
31.048,9.513,21.006,35.253,13,23.77,,45.774,15.89,
15.556,16.14,25.045,34.348,27.005,40.025,,13.865,4,
62.032,6,6.5,31.349,13.583,32.249,,35.118,4,
18.974,42,7.762,39.825,23.601,29.517,,56.056,4.123,
25.554,24.683,26.725,45.667,,33.842,,45.277,4,
31.016,18.2,36.003,20.333,,11,,50.707,11.236,
22.136,4.5,18.125,25.669,,55.644,,29.5,26.5,
43.081,12.748,29.347,43.379,,23.049,,18.2,22.589,
64.637,27.505,45.1,25.805,,30.7,,36.695,10.124,
40.608,19.679,32.191,46.392,,16,,25.539,12.748,
17.029,19.3,36.503,32.28,,22.051,,12.748,36.531,
54.918,14.577,22.472,24.479,,30.537,,34.033,9.823,
37.162,14.807,32.206,19.667,,39.63,,13,15.532,
20.616,7.433,22.506,12.134,,36.17,,51.539,6.964,
24.739,11.511,22.804,47.465,,17.117,,36.459,12.5,
33.242,19.812,26.277,27.554,,32.81,,27.518,10.012,
28.46,21.29,27.313,35.839,,56.109,,28.657,14.009,
31.906,20.006,39.08,27.883,,45.607,,24.274,11.281,
25.495,17.357,25.505,48.094,,10.548,,30.529,18,
63.198,21.101,24.505,36.174,,52,,66.115,39.715,
12.166,6.5,33.842,40.022,,80.568,,30.017,11.413,
30.871,4.5,26.632,28.674,,33.842,,26,14.396,
15.62,7.433,33.504,34.456,,43.778,,21.29,46.141,
35.609,18.901,15.403,28.097,,19.962,,15.628,54.12,
10.05,25,19.026,43.566,,19.138,,25.11,15.532,
59.034,12.649,22.051,48.667,,40.528,,41.173,63.812,
12.649,6.021,37.901,15.549,,46.543,,18,16.008,
13.038,12.59,49.739,35.418,,43.9,,23.505,8.5,
24.698,16.155,15.572,10.63,,59.76,,24.042,6.5,
,28.2,35.014,17.867,,18.5,,16.14,8.016,
,20.934,31.504,17.208,,16.643,,9.124,15.24,
,12.021,27.313,30.883,,37.366,,33.019,16.808,
,20.652,22.506,17.295,,20.555,,30.5,36.623,
,16.808,28.5,21.429,,40.672,,15.532,21.077,
,9.014,33.679,35.667,,47.461,,21,29.5,
,21.966,23.265,24.148,,20.809,,41.62,7.81,
,18.446,55.502,13.876,,10.404,,13.601,7.071,
,17.205,33.034,42.594,,16.225,,28.714,20,
,26.627,19.78,16.667,,32.388,,25.505,10.607,
,9.5,34.792,13.119,,45.044,,20.506,40.012,
,21.932,30,25.841,,28.535,,37.977,21.36,
,10.05,21.662,32.361,,30.602,,28.57,7.159,
,16.008,22.984,20.333,,20.5,,38.565,45.774,
,17.443,55.52,21.731,,32.016,,33.305,10.92,
,19.558,39.029,39.051,,17.393,,26.879,21.552,
,6.403,20.5,28.032,,23.633,,28.443,37.121,
,21.523,29.364,23.113,,25.224,,14.318,14.396,
,21.471,28.293,27.675,,38.448,,19.526,5.099,
,23.022,24.005,19.232,,35.26,,34.562,6.519,
,9.618,36.003,12.737,,45.011,,20.359,5.852,
,18,26.655,24.207,,46.487,,56.321,6.083,
,15.524,,20.177,,14.714,,7.433,11.673,
,19.059,,34.619,,10.05,,21.593,12.5,
,20.506,,13.768,,15.133,,31.847,27.005,
,30.907,,32.395,,14.08,,14.866,17.671,
,36.069,,30.554,,47.566,,12.5,11,
,19.3,,18,,14.08,,18.822,22.853,
,32.175,,18.634,,13.463,,20.012,14.765,
,22.809,,24.81,,18.561,,38.053,8.515,
,17.678,,32.696,,10.77,,23.838,9.708,
,22.727,,12.369,,14.23,,13.454,29.296,
,18.111,,12.548,,,,17.678,55.772,
,19.144,,13.119,,,,15.811,18.828,
,14.509,,20.979,,,,46.84,17.507,
,14.534,,22.825,,,,21.639,20.224,
,11.662,,35.855,,,,37.802,10.794,
,25.544,,23.9,,,,47.265,37.014,
,17.066,,31.333,,,,53.451,24.515,
,18,,31.029,,,,5.701,21.593,
,17.614,,8.36,,,,24.622,16.867,
,12.5,,12.134,,,,31.085,25.812,
,29.411,,26.998,,,,29.967,36.586,
,24.135,,11.175,,,,26.101,28.784,
,14.221,,30.414,,,,39.147,13,
,30.364,,28.176,,,,54.023,8.944,
,22.804,,35.267,,,,40.528,5.22,
,28.57,,31.378,,,,28.853,4.528,
,22.209,,20.562,,,,24.683,4,
,17.493,,23.135,,,,55.02,8,
,34.213,,28.783,,,,28.504,5.148,
,21.03,,35.006,,,,53.425,5.025,
,17.219,,35.743,,,,34.731,4.5,
,26.349,,36.457,,,,21.148,18.768,
,16.125,,24.479,,,,29.833,14.509,
,11.011,,20.605,,,,38.552,9.055,
,5.025,,31.842,,,,25.179,10.05,
,28.609,,27.938,,,,34.731,14.866,
,35.018,,8.246,,,,38.539,19.007,
,27,,39.634,,,,53.151,3.354,
,33.5,,37.704,,,,30,6.671,
,18.822,,20.243,,,,29.47,10.44,
,14.807,,28.707,,,,37.583,12.728,
,21.523,,19.847,,,,20,24.042,
,25.125,,15.951,,,,8.732,23.838,
,12.748,,21.011,,,,14.577,12.349,
,24.01,,9.006,,,,35.641,18.601,
,12.349,,23.286,,,,21.148,21.915,
,11.543,,30.145,,,,38.601,7.566,
,13.463,,25.342,,,,25.5,16.492,
,22.627,,15.322,,,,20.156,6.021,
,25.402,,,,,,21.915,15.297,
,27.019,,,,,,,22.589,
,20.506,,,,,,,22.023,
,42.72,,,,,,,20.524,
,19.164,,,,,,,18.31,
,13.757,,,,,,,13.509,
,16.621,,,,,,,15.182,
,26.505,,,,,,,18.682,
,22.5,,,,,,,28.609,
,19.558,,,,,,,25.48,
,17.586,,,,,,,25.11,
,18.439,,,,,,,39.881,
,21.829,,,,,,,19.812,
,17.564,,,,,,,14.714,
,20.006,,,,,,,10.595,
,18.5,,,,,,,3.5,
,23.436,,,,,,,5.701,
,18.344,,,,,,,15.89,
,11.8,,,,,,,15.008,
,11.673,,,,,,,21.243,
,16.771,,,,,,,18.822,
,10.062,,,,,,,17,
,21.5,,,,,,,5.701,
,25,,,,,,,6.325,
,26.538,,,,,,,11.511,
,40.041,,,,,,,7.018,
,18.337,,,,,,,26.954,
,17.183,,,,,,,27.171,
,32.016,,,,,,,21.024,
,26.163,,,,,,,23.265,
,6.185,,,,,,,6.946,
,37.407,,,,,,,19.66,
,14.577,,,,,,,7.071,
,21.272,,,,,,,14.151,
,9.192,,,,,,,14.16,
,14.213,,,,,,,9.899,
,29.262,,,,,,,7.616,
,12.207,,,,,,,15.075,
,10.689,,,,,,,19.506,
,22.672,,,,,,,26.856,
,16.919,,,,,,,56.473,
,20.555,,,,,,,23.927,
,14.577,,,,,,,6,
,21.783,,,,,,,35.924,
,31.894,,,,,,,11.18,
,13.509,,,,,,,10.689,
,12.5,,,,,,,8.515,
,10.296,,,,,,,17.755,
,24.749,,,,,,,8.515,
,28.935,,,,,,,23.409,
,19.007,,,,,,,5.408,
,10,,,,,,,11.885,
,28.504,,,,,,,26.879,
,4.272,,,,,,,19.105,
,6.403,,,,,,,38.5,
,21.506,,,,,,,25,
,15.207,,,,,,,9.513,
,16.621,,,,,,,11.715,
,20.156,,,,,,,23.005,
,36.719,,,,,,,11.885,
,30.319,,,,,,,9.014,
,12.369,,,,,,,5.5,
,15.008,,,,,,,16.279,
,25.402,,,,,,,22.023,
,24.026,,,,,,,11.011,
,18.028,,,,,,,3.5,
,15.7,,,,,,,7,
,21.272,,,,,,,12.51,
,10,,,,,,,16.651,
,17.5,,,,,,,6.5,
,19.925,,,,,,,5.852,
,20.006,,,,,,,5.099,
,20.261,,,,,,,30.504,
,12.093,,,,,,,9.925,
,6.519,,,,,,,28.888,
,13.2,,,,,,,28.539,
,16.808,,,,,,,28.16,
,25.125,,,,,,,12.51,
,21.101,,,,,,,14.142,
,24.192,,,,,,,26.571,
,12.748,,,,,,,23.049,
,27.203,,,,,,,25.739,
,6.727,,,,,,,13.463,
,23.243,,,,,,,19.526,
,16.688,,,,,,,9.618,
,10,,,,,,,32.016,
,13.5,,,,,,,29.504,
,13,,,,,,,20.131,
,26,,,,,,,40.078,
,14.534,,,,,,,5.59,
,18.31,,,,,,,16.651,
,14.009,,,,,,,14.151,
,33.515,,,,,,,31.504,
,19.039,,,,,,,26.575,
,21.708,,,,,,,9.014,
,11.281,,,,,,,11.5,
,11.045,,,,,,,14.773,
,25.986,,,,,,,11.424,
,23.927,,,,,,,46.672,
,14.509,,,,,,,18.788,
,27.459,,,,,,,5.657,
,15.914,,,,,,,10.735,
,10.7,,,,,,,10.607,
,18.608,,,,,,,9.055,
,23,,,,,,,20.555,
,23.691,,,,,,,19,
,8.062,,,,,,,24.005,
,14.866,,,,,,,17.117,
,7.071,,,,,,,25.773,
,12.54,,,,,,,22.506,
,16.651,,,,,,,43.546,
,34.077,,,,,,,29.47,
,16.378,,,,,,,16.492,
,13,,,,,,,10,
,6.801,,,,,,,20.125,
,35.756,,,,,,,9.22,
,15.89,,,,,,,25.045,
,18.007,,,,,,,26.12,
,14.637,,,,,,,30.042,
,17.507,,,,,,,10.512,
,11.543,,,,,,,14,
,22,,,,,,,22.55,
,12.166,,,,,,,13,
,31.145,,,,,,,18.608,
,18.007,,,,,,,7.211,
,14,,,,,,,16.53,
,25.461,,,,,,,11.511,
,15.24,,,,,,,17.219,
,15.524,,,,,,,40,
,19.679,,,,,,,16.031,
,20.809,,,,,,,32.202,
,14.396,,,,,,,21.225,
,17.328,,,,,,,47.011,
,28.147,,,,,,,47.011,
,11,,,,,,,21.506,
,17.066,,,,,,,7.5,
,25.5,,,,,,,16.378,
,19.849,,,,,,,8,
,13.5,,,,,,,9.5,
,27.074,,,,,,,7.5,
,27.613,,,,,,,44.06,
,27.372,,,,,,,19.138,
,16.8,,,,,,,9.22,
,18.795,,,,,,,23.033,
,21.477,,,,,,,31.599,
,24.703,,,,,,,17.219,
,15.207,,,,,,,35.26,
,29.039,,,,,,,25.224,
,23.135,,,,,,,25.52,
,20.025,,,,,,,21.006,
,8.86,,,,,,,10.5,
,9.014,,,,,,,6,
,14.5,,,,,,,19.602,
,15.66,,,,,,,16.508,
,13,,,,,,,26.542,
,24.602,,,,,,,4.301,
,38.917,,,,,,,10.548,
,11.673,,,,,,,6.5,
,24.207,,,,,,,13.509,
,28.784,,,,,,,9.552,
,18.901,,,,,,,27.609,
,35.164,,,,,,,32.898,
,37.047,,,,,,,30.401,
,14.5,,,,,,,16.568,
,14.009,,,,,,,34.475,
,34.311,,,,,,,23.505,
,18.028,,,,,,,18.111,
,10.63,,,,,,,18.668,
,21.633,,,,,,,15,
,21.84,,,,,,,14.221,
,6.325,,,,,,,10,
,8.078,,,,,,,8.631,
,20.718,,,,,,,10,
,9.5,,,,,,,16.279,
,25.145,,,,,,,14.5,
,20.012,,,,,,,7.649,
,14.396,,,,,,,12.176,
,14.009,,,,,,,19.026,
,11.673,,,,,,,4.301,
,20.797,,,,,,,11.769,
,20.248,,,,,,,19.007,
,25.986,,,,,,,4.5,
,23.759,,,,,,,18.581,
,80.777,,,,,,,29.682,
,47.595,,,,,,,14.16,
,10.308,,,,,,,16.971,
,20.524,,,,,,,14.765,
,49.661,,,,,,,15.532,
,12.51,,,,,,,9.22,
,26.163,,,,,,,15.075,
,52.431,,,,,,,10.308,
,8.515,,,,,,,24.87,
,8.631,,,,,,,34.366,
,26.707,,,,,,,17.117,
,52.802,,,,,,,32.315,
,22.322,,,,,,,22.55,
,14.08,,,,,,,22.456,
,23.901,,,,,,,29.954,
,7.382,,,,,,,21.101,
,10.794,,,,,,,30.537,
,21.593,,,,,,,10.548,
,10.404,,,,,,,32.191,
,19.526,,,,,,,24.698,
,29.334,,,,,,,14,
,23.5,,,,,,,13.21,
,15.7,,,,,,,26.462,
,12.349,,,,,,,11.413,
,16.101,,,,,,,12.021,
,9.179,,,,,,,17.5,
,25.348,,,,,,,12.54,
,17.529,,,,,,,8,
,23.5,,,,,,,13.342,
,12.54,,,,,,,37.964,
,18.344,,,,,,,9.22,
,25.318,,,,,,,22.594,
,15.953,,,,,,,44.3,
,14.841,,,,,,,19.007,
,21.148,,,,,,,16.5,
,26.655,,,,,,,8.544,
,13.454,,,,,,,20.1,
,8.515,,,,,,,22.589,
,15.403,,,,,,,24.824,
,11,,,,,,,41.743,
,11,,,,,,,14.08,
,12.258,,,,,,,35.203,
,6.403,,,,,,,13.2,
,12.021,,,,,,,20,
,11.18,,,,,,,6,
,10.296,,,,,,,9.657,
,21.84,,,,,,,16.101,
,14.866,,,,,,,12.349,
,6.325,,,,,,,5.59,
,12.042,,,,,,,28.504,
,11.705,,,,,,,34.366,
,12.01,,,,,,,37.003,
,14.009,,,,,,,63.518,
,18.062,,,,,,,11.511,
,18.18,,,,,,,34.3,
,16.325,,,,,,,15.882,
,17.205,,,,,,,10.607,
,21.36,,,,,,,25.5,
,20.839,,,,,,,22.277,
,31.8,,,,,,,29.606,
,9.552,,,,,,,26.043,
,20.893,,,,,,,7.517,
,7.632,,,,,,,3.606,
,13.601,,,,,,,7.5,
,7.616,,,,,,,14,
,23.505,,,,,,,39.503,
,22.192,,,,,,,8.246,
,16.508,,,,,,,7.517,
,14.577,,,,,,,6.185,
,16.378,,,,,,,25.578,
,27.336,,,,,,,,
,8.559,,,,,,,,
,7.906,,,,,,,,
,9.552,,,,,,,,
,34,,,,,,,,
,27.295,,,,,,,,
,10,,,,,,,,
,14.916,,,,,,,,
,19.526,,,,,,,,
,11.045,,,,,,,,
,28.218,,,,,,,,
,26.618,,,,,,,,
,16.008,,,,,,,,
,21.054,,,,,,,,
,17.393,,,,,,,,
,30.927,,,,,,,,
,32.894,,,,,,,,
,27.609,,,,,,,,
,50.826,,,,,,,,
,12.298,,,,,,,,
,13.463,,,,,,,,
,9.055,,,,,,,,
,10.966,,,,,,,,
,11.597,,,,,,,,
